Categoria;EAN;Marca;Producto;Precio;Supermercado;Enlace;Imagen;Archivo_Imagen
Despensa;"=""7802800512225""";Sin Marca;Café Coronado 100Gr;2450;Eltit;https://super.eltit.cl/products/cafe-coronado-100gr;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/0b4f8eab/855659-CORONADO-100GR-1.png;7802800512225.jpg
Despensa;"=""7802800521135""";Sin Marca;Té Instantáneo Limón Te Orjas 30Gr;1799;Eltit;https://super.eltit.cl/products/te-orjas-30gr-tarro-limon;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/77dd6b18/854283-TE-DE-ORJAS-LIMON.jpg;7802800521135.jpg
Despensa;"=""7802800521142""";Sin Marca;Té Instantáneo Canela Té Orjas 30Gr;1799;Eltit;https://super.eltit.cl/products/te-orjas-30gr-tarro-canela;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/51052577/856683-TE-DE-ORJAS-CANELA.jpg;7802800521142.jpg
Despensa;"=""7802800531134""";Sin Marca;Saborizante Chocolate Cocoa Raff 300Gr;2990;Eltit;https://super.eltit.cl/products/cocoa-raff-300gr-pote-chocolate;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/ee517a7c/853687-cocoa_raff.jpg;7802800531134.jpg
Lácteos y Quesos;"=""7802800531141""";Sin Marca;Saborizante Chocolate Cocoa Raff 200Gr;1199;Eltit;https://super.eltit.cl/products/cocoa-raff-200gr-bol-chocolate;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/4e053873/860030-000000000000612533-UN-01.jpg;7802800531141.jpg
Snacks y Galletas;"=""7802800533565""";Sin Marca;Papas Fritas Sabor Original Kryzpo 130Gr;1990;Eltit;https://super.eltit.cl/products/papas-kryzpo-140gr-original;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/fcc0d6b5/855940-PAPASKRYZPO-SABOR-ORIGINAL.jpg;7802800533565.jpg
Snacks y Galletas;"=""7802800533572""";Sin Marca;Papas Fritas Queso Kryzpo 130Gr;1990;Eltit;https://super.eltit.cl/products/papas-kryzpo-140gr-queso;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/104e27dd/922890-7802800533572.jpg;7802800533572.jpg
Snacks y Galletas;"=""7802800533589""";Sin Marca;Papas Kryzpo 130Gr Cebolla;1990;Eltit;https://super.eltit.cl/products/papas-kryzpo-130gr-cebolla;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/a585d5d4/922888-7802800533589.JPG;7802800533589.jpg
Snacks y Galletas;"=""7802800533800""";Sin Marca;Papas Kryzpo Wavy 110Gr Sal De Mar;2399;Eltit;https://super.eltit.cl/products/papas-kryzpo-wavy-110gr-sal-de-mar;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/8447111e/922869-7802800533800.JPG;7802800533800.jpg
Snacks y Galletas;"=""7802800533817""";Sin Marca;Papas Kryzpo Wavy Cheddar 110Gr;2399;Eltit;https://super.eltit.cl/products/papas-kryzpo-wavy-1103gr-cheddar;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/fdf51eef/859976-000000000662527002-UN-02.jpg;7802800533817.jpg
Snacks y Galletas;"=""7802800533824""";Sin Marca;Papas Wavy Sal De Mar Kryzpo 33Gr;999;Eltit;https://super.eltit.cl/products/papas-kryzpo-wavy-33gr-sal-de-mar;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/bfdb9223/1011033-7802800533824.JPG;7802800533824.jpg
Snacks y Galletas;"=""7802800533831""";Sin Marca;Papas Wavy Cheddar Kryzpo 33Gr;999;Eltit;https://super.eltit.cl/products/papas-kryzpo-wavy-33gr-cheddar;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/18702613/1011015-7802800533831.JPG;7802800533831.jpg
Snacks y Galletas;"=""7802800534128""";Sin Marca;Papas Fritas Sabor Queso 280Gr;3499;Eltit;https://super.eltit.cl/products/papas-kryzpo-280gr-queso;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/87f32675/929975-7802800534128.jpg;7802800534128.jpg
Snacks y Galletas;"=""7802800535569""";Sin Marca;Papas Fritas Original Kryzpo 37Gr;899;Eltit;https://super.eltit.cl/products/papas-kryzpo-40gr-original;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/86df1b19/1011043-7802800535569.JPG;7802800535569.jpg
Snacks y Galletas;"=""7802800535576""";Sin Marca;Papas Fritas Queso Kryzpo 37Gr;899;Eltit;https://super.eltit.cl/products/papas-kryzpo-40gr-queso;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/97866d5c/1011039-7802800535576.JPG;7802800535576.jpg
Snacks y Galletas;"=""7802800535583""";Sin Marca;Papas Fritas Cebolla Kryzpo 37Gr;899;Eltit;https://super.eltit.cl/products/papas-kryzpo-37gr-cebolla;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/ea7cac42/1011040-7802800535583.JPG;7802800535583.jpg
Snacks y Galletas;"=""7802800535590""";Sin Marca;Papas Fritas Pizza Kryzpo 37Gr;899;Eltit;https://super.eltit.cl/products/papas-kryzpo-40gr-pizza;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/c3f7f6be/1011037-7802800535590.JPG;7802800535590.jpg
Snacks y Galletas;"=""7802800535934""";Sin Marca;Papas Jalapeño Kryzpo 130Gr;2390;Eltit;https://super.eltit.cl/products/papas-jalapeno-kryzpo;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/69fa3b6d/967163-fhdf.jpg;7802800535934.jpg
Bebidas y Licores;"=""7802800544318""";Sin Marca;Néctar Naranja 0% Azúcar Livean 200Cc;399;Eltit;https://super.eltit.cl/products/nectar-livean-200-naranja;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/8d08019a/1069242-nectar_naranja_livean.JPG;7802800544318.jpg
Bebidas y Licores;"=""7802800544325""";Sin Marca;Néctar Durazno 0% Azúcar Livean 200Cc;399;Eltit;https://super.eltit.cl/products/nectar-durazno-0-azucar-livean-200cc;https://i.bolder.run/r/czoyMzA1MyxnOjI2MHg/0518020b/1069255-nectar_durazno_livean.JPG;7802800544325.jpg
